Jacobi relaxation calculation: 500 x 500 grid	./laplace_seq |	Jacobi relaxation calculation: 500 x 500 grid	./laplace_pth
1.000000 36.395835 44.212140 46.169252 46.831658 47.176441 47 |	1.000000 36.396646 44.210518 46.171685 46.828415 47.180495 47
43.000000 41.559724 43.681159 45.099799 45.961641 46.560866 4 |	43.000000 41.558922 43.682763 45.097394 45.964848 46.556857 4
39.000000 43.158696 43.859389 44.577523 45.367069 46.079597 4 |	39.000000 43.159488 43.857803 44.579901 45.363898 46.083560 4
70.000000 48.218841 44.013834 43.993350 44.836831 45.724433 4 |	70.000000 48.218058 44.015402 43.990999 44.839965 45.720515 4
25.000000 35.699701 39.990027 42.535809 44.275010 45.505251 4 |	25.000000 35.700475 39.988478 42.538132 44.271913 45.509123 4
15.000000 29.593032 37.704570 41.894140 44.209762 45.632518 4 |	15.000000 29.592266 37.706100 41.891845 44.212822 45.628692 4
0.000000 29.964795 39.347203 43.117239 45.049620 46.225518 47 |	0.000000 29.965551 39.345691 43.119507 45.046597 46.229297 47
72.000000 50.921970 46.596161 46.187063 46.633871 47.203644 4 |	72.000000 50.921224 46.597654 46.184823 46.636856 47.199912 4
72.000000 55.123939 49.934381 48.392023 48.107099 48.235546 4 |	72.000000 55.124676 49.932907 48.394235 48.104150 48.239231 4
27.000000 47.642353 49.619505 49.348397 49.155162 49.164613 4 |	27.000000 47.641626 49.620960 49.346214 49.158072 49.160975 4
97.000000 58.823059 51.558709 50.218166 50.012181 50.001318 5 |	97.000000 58.823777 51.557272 50.220320 50.009308 50.004908 5
5.000000 39.094046 47.568362 49.961994 50.662588 50.825269 50 |	5.000000 39.093338 47.569779 49.959868 50.665422 50.821726 50
35.000000 44.981930 49.664367 51.390358 51.862245 51.835170 5 |	35.000000 44.982629 49.662969 51.392455 51.859450 51.838665 5
62.000000 56.172104 54.711225 54.081216 53.549683 53.030654 5 |	62.000000 56.171414 54.712603 54.079148 53.552440 53.027208 5
70.000000 62.992503 58.932727 56.665326 55.235644 54.195975 5 |	70.000000 62.993182 58.931368 56.667364 55.232926 54.199372 5
80.000000 66.867898 61.356421 58.419870 56.520722 55.147159 5 |	80.000000 66.867228 61.357760 58.417861 56.523401 55.143810 5
64.000000 63.119989 61.210546 59.128975 57.290932 55.776359 5 |	64.000000 63.120649 61.209226 59.130955 57.288292 55.779658 5
48.000000 60.404153 61.231518 59.602472 57.727115 56.111105 5 |	48.000000 60.403503 61.232819 59.600522 57.729715 56.107854 5
82.000000 69.262504 63.714104 60.314479 57.914353 56.125678 5 |	82.000000 69.263144 63.712824 60.316400 57.911792 56.128878 5
83.000000 70.934319 64.042795 60.034670 57.479896 55.718502 5 |	83.000000 70.933689 64.044055 60.032779 57.482417 55.715350 5
82.000000 67.429456 61.493128 58.293946 56.262146 54.832315 5 |	82.000000 67.430077 61.491888 58.295807 56.259664 54.835416 5
44.000000 55.292859 56.201355 55.393284 54.432502 53.588380 5 |	44.000000 55.292248 56.202575 55.391453 54.434943 53.585329 5
64.000000 53.538183 52.631030 52.638010 52.495963 52.203607 5 |	64.000000 53.538783 52.629830 52.639810 52.493563 52.206608 5
19.000000 42.231245 48.141772 50.038965 50.700132 50.880744 5 |	19.000000 42.230655 48.142952 50.037194 50.702492 50.877794 5
63.000000 48.242664 47.670568 48.668864 49.394298 49.764682 4 |	63.000000 48.243244 47.669408 48.670604 49.391978 49.767581 4
20.000000 40.071161 45.624335 47.578585 48.434235 48.873643 4 |	20.000000 40.070592 45.625474 47.576876 48.436513 48.870794 4
44.000000 46.415368 47.181582 47.580070 47.899529 48.172984 4 |	44.000000 46.415928 47.180464 47.581749 47.897292 48.175781 4
74.000000 54.410967 49.102081 47.667298 47.401878 47.519073 4 |	74.000000 54.410418 49.103179 47.665651 47.404075 47.516327 4
45.000000 48.124224 47.152869 46.578574 46.530399 46.745864 4 |	45.000000 48.124762 47.151791 46.580191 46.528244 46.748558 4
56.000000 45.935213 44.802288 44.970197 45.386659 45.877746 4 |	56.000000 45.934685 44.803344 44.968612 45.388772 45.875104 4
5.000000 34.812228 41.155098 43.106927 44.176747 45.000810 45 |	5.000000 34.812746 41.154062 43.108481 44.174675 45.003399 45
82.000000 47.160674 41.894807 42.131880 43.204307 44.252994 4 |	82.000000 47.160166 41.895823 42.130358 43.206338 44.250456 4
5.000000 29.933629 37.135638 40.315389 42.263729 43.657815 44 |	5.000000 29.934126 37.134644 40.316881 42.261741 43.660300 44
20.000000 30.440193 36.394749 39.736276 41.869454 43.393508 4 |	20.000000 30.439706 36.395722 39.734816 41.871400 43.391075 4
28.000000 35.430448 38.270781 40.359672 42.092087 43.494502 4 |	28.000000 35.430924 38.269829 40.361100 42.090183 43.496882 4
69.000000 45.012723 40.894447 41.345258 42.637104 43.887499 4 |	69.000000 45.012257 40.895378 41.343862 42.638965 43.885172 4
25.000000 34.724134 38.952751 41.484224 43.231017 44.493574 4 |	25.000000 34.724589 38.951842 41.485589 43.229198 44.495848 4
5.000000 29.932881 38.704562 42.413329 44.301889 45.429431 46 |	5.000000 29.932437 38.705450 42.411996 44.303666 45.427210 46
42.000000 41.301051 43.522840 45.157310 46.140887 46.736157 4 |	42.000000 41.301485 43.521973 45.158610 46.139154 46.738324 4
51.000000 49.750218 48.924968 48.557386 48.361259 48.249357 4 |	51.000000 49.749795 48.925814 48.556117 48.362950 48.247243 4
68.000000 57.773162 53.872813 51.780932 50.504170 49.700817 4 |	68.000000 57.773574 53.871989 51.782168 50.502522 49.702877 4
54.000000 59.471264 57.008892 54.194305 52.167082 50.851528 5 |	54.000000 59.470863 57.009694 54.193102 52.168687 50.849522 5
86.000000 69.101399 60.500395 55.815501 53.124743 51.511699 5 |	86.000000 69.101789 60.499614 55.816672 53.123182 51.513651 5
99.000000 70.435497 60.072666 55.447246 52.998445 51.556859 5 |	99.000000 70.435118 60.073425 55.446107 52.999963 51.554961 5
46.000000 53.566406 53.910563 52.897817 51.871003 51.059945 5 |	46.000000 53.566775 53.909825 52.898923 51.869528 51.061789 5
23.000000 43.921039 49.102413 50.366880 50.521908 50.355055 5 |	23.000000 43.920681 49.103129 50.365806 50.523339 50.353266 5
72.000000 50.013906 48.214034 48.941087 49.500419 49.722042 4 |	72.000000 50.014253 48.213340 48.942128 49.499031 49.723777 4
3.000000 35.921937 44.795955 47.687179 48.811088 49.289583 49 |	3.000000 35.921601 44.796627 47.686171 48.812432 49.287903 49
41.000000 45.876544 47.363358 48.196553 48.772547 49.141200 4 |	41.000000 45.876869 47.362708 48.197528 48.771247 49.142825 4
97.000000 59.222183 50.581778 48.967030 48.936146 49.159760 4 |	97.000000 59.221869 50.582406 48.966088 48.937402 49.158190 4
32.000000 43.429153 46.777054 48.149876 48.850271 49.221805 4 |	32.000000 43.429456 46.776448 48.150785 48.849059 49.223320 4
6.000000 35.718587 44.944987 48.008783 49.088409 49.475830 49 |	6.000000 35.718295 44.945571 48.007907 49.089576 49.474370 49
52.000000 48.499040 49.277858 49.848359 50.023422 49.995827 4 |	52.000000 48.499321 49.277296 49.849202 50.022298 49.997232 4
60.000000 57.000838 53.816800 52.086745 51.156599 50.596867 5 |	60.000000 57.000568 53.817339 52.085935 51.157678 50.595518 5
93.000000 65.686434 56.903916 53.521984 51.923678 51.016188 5 |	93.000000 65.686693 56.903399 53.522760 51.922643 51.017482 5
56.000000 55.842018 54.588377 53.176702 51.995802 51.112682 5 |	56.000000 55.841770 54.588872 53.175959 51.996792 51.111444 5
20.000000 47.092269 52.432852 52.597675 51.774107 50.957781 5 |	20.000000 47.092506 52.432379 52.598385 51.773161 50.958963 5
72.000000 60.095154 55.451194 53.009878 51.541386 50.614983 5 |	72.000000 60.094929 55.451645 53.009202 51.542287 50.613857 5
91.000000 65.836253 56.268695 52.446552 50.770182 49.944088 4 |	91.000000 65.836467 56.268267 52.447195 50.769325 49.945159 4
71.000000 55.982017 51.339069 49.740024 49.145275 48.904785 4 |	71.000000 55.981814 51.339475 49.739415 49.146086 48.903770 4
9.000000 35.751936 43.367164 46.026763 47.169356 47.737311 48 |	9.000000 35.752128 43.366781 46.027339 47.168589 47.738270 48
30.000000 34.659330 40.349355 43.832811 45.765006 46.835745 4 |	30.000000 34.659149 40.349716 43.832269 45.765728 46.834842 4
17.000000 32.535306 39.539558 43.187954 45.225001 46.401317 4 |	17.000000 32.535475 39.539220 43.188462 45.224324 46.402164 4
34.000000 38.943012 42.084265 44.156476 45.543019 46.455726 4 |	34.000000 38.942854 42.084581 44.156002 45.543651 46.454935 4
52.000000 47.151844 45.699278 45.808770 46.337401 46.841336 4 |	52.000000 47.151991 45.698984 45.809210 46.336814 46.842070 4
70.000000 51.965674 47.751059 47.043685 47.154132 47.369472 4 |	70.000000 51.965539 47.751330 47.043278 47.154674 47.368794 4
32.000000 42.959252 46.296682 47.459154 47.868138 47.963746 4 |	32.000000 42.959377 46.296433 47.459527 47.867640 47.964368 4
26.000000 41.575151 47.016268 48.629604 48.893531 48.705820 4 |	26.000000 41.575038 47.016494 48.629265 48.893983 48.705254 4
42.000000 50.324631 51.564538 51.148106 50.372370 49.581951 4 |	42.000000 50.324733 51.564335 51.148411 50.371963 49.582460 4
91.000000 66.159243 57.768334 54.027134 51.864264 50.379172 4 |	91.000000 66.159152 57.768515 54.026862 51.864626 50.378719 4
74.000000 65.543644 59.323145 55.326745 52.679827 50.806388 4 |	74.000000 65.543723 59.322987 55.326983 52.679511 50.806784 4
64.000000 62.692504 58.653225 55.277824 52.720646 50.758757 4 |	64.000000 62.692436 58.653360 55.277621 52.720918 50.758417 4
81.000000 62.572877 57.319968 54.409867 52.167263 50.278541 4 |	81.000000 62.572934 57.319855 54.410037 52.167036 50.278824 4
21.000000 49.279263 53.643450 52.875091 51.259092 49.492690 4 |	21.000000 49.279217 53.643541 52.874955 51.259273 49.492463 4
78.000000 59.900542 55.099841 52.187413 50.502049 48.631158 4 |	78.000000 59.900576 55.099773 52.187515 50.501913 48.631327 4
53.000000 57.223202 54.667686 50.273077 49.929990 48.065144 4 |	53.000000 57.223180 54.667731 50.273009 49.930081 48.065030 4
56.000000 61.324490 56.074804 44.306949 50.880052 49.283089 4 |	56.000000 61.324502 56.074781 44.306983 50.880007 49.283145 4
./laplace_seq Kernel executed in 1.427319e+02 seconds with 50 |	./laplace_pth Kernel executed in 1.580709e+02 seconds with 50
